participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
2;yu28ouep;;0;298;297;otree_etf_cda;Results;2022-03-02 23:59:10.807952+00:00;1;;;8;2;;{'A': 2, 'B': 4, 'C': 3, 'D': 0};{'A': 2, 'B': 4, 'C': 3, 'D': 0};50;50;470;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
3;zl6gs3a2;;0;298;297;otree_etf_cda;Results;2022-03-02 23:59:43.373891+00:00;1;;;110;3;;{'A': 1, 'B': 1, 'C': 3, 'D': 0};{'A': 1, 'B': 0, 'C': 3, 'D': 0};260;180;410;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
4;5fmgcamz;;0;298;297;otree_etf_cda;Results;2022-03-02 23:59:34.012030+00:00;1;;;322;4;;{'A': 1, 'B': 2, 'C': 2, 'D': 0};{'A': 1, 'B': 2, 'C': 2, 'D': 0};271;241;421;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
5;viezv15q;;0;298;297;otree_etf_cda;Results;2022-03-02 23:59:49.458048+00:00;1;;;150;5;;{'A': 4, 'B': 1, 'C': 2, 'D': 0};{'A': 4, 'B': 1, 'C': 2, 'D': 0};70;70;130;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
6;tsn2t9qy;;0;298;297;otree_etf_cda;Results;2022-03-03 00:00:07.757149+00:00;1;;;229;6;;{'A': 1, 'B': 1, 'C': 1, 'D': 0};{'A': 1, 'B': 1, 'C': 1, 'D': 0};480;480;450;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
7;njqxp4n8;;0;298;297;otree_etf_cda;Results;2022-03-03 00:00:06.347067+00:00;1;;;351;7;;{'A': 3, 'B': 1, 'C': 1, 'D': 1};{'A': 3, 'B': 1, 'C': 0, 'D': 1};0;0;150;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
8;tita9miw;;0;298;297;otree_etf_cda;Results;2022-03-03 00:00:10.551561+00:00;1;;;302;8;;{'A': 1, 'B': 3, 'C': 5, 'D': 0};{'A': 1, 'B': 3, 'C': 5, 'D': 0};55;55;565;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
9;o0xj0kd9;;0;298;297;otree_etf_cda;Results;2022-03-03 00:00:11.603922+00:00;1;;;179;9;;{'A': 3, 'B': 2, 'C': 1, 'D': 0};{'A': 3, 'B': 1, 'C': 1, 'D': 0};180;180;240;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
10;vbfahm5c;;0;298;297;otree_etf_cda;Results;2022-03-03 00:00:24.990476+00:00;1;;;236;10;;{'A': 0, 'B': 2, 'C': 3, 'D': 0};{'A': 0, 'B': 2, 'C': 2, 'D': 0};365;365;605;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
11;e9xpgl96;;0;298;297;otree_etf_cda;Results;2022-03-03 00:01:29.128978+00:00;1;;;232;11;;{'A': 1, 'B': 1, 'C': 1, 'D': 1};{'A': 1, 'B': 1, 'C': 1, 'D': 1};89;89;239;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
12;negz2jyt;;0;298;297;otree_etf_cda;Results;2022-03-03 00:01:29.810247+00:00;1;;;329;12;;{'A': 4, 'B': 4, 'C': 0, 'D': 0};{'A': 4, 'B': 3, 'C': 0, 'D': 0};125;55;275;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
13;r82hzj9h;;0;298;297;otree_etf_cda;Results;2022-03-03 00:01:01.047877+00:00;1;;;124;13;;{'A': 0, 'B': 0, 'C': 2, 'D': 0};{'A': 0, 'B': 0, 'C': 1, 'D': 0};400;330;370;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
14;ecexrxp2;;0;298;297;otree_etf_cda;Results;2022-03-03 00:01:00.423976+00:00;1;;;193;14;;{'A': 2, 'B': 3, 'C': 2, 'D': 0};{'A': 2, 'B': 3, 'C': 2, 'D': 0};275;250;515;1;2022-03-03 00:07:10.920509+00:00;X;2;mqshq7o7;;;;;0
1;8jbcnqk8;;0;298;297;otree_etf_cda;Results;2022-03-02 23:59:19.506196+00:00;1;;;516;1;;{'A': 5, 'B': 2, 'C': 1, 'D': 0};{'A': 4, 'B': 2, 'C': 1, 'D': 0};4;4;664;1;2022-03-03 00:11:32.066209+00:00;Z;3;mqshq7o7;;;;;0
2;yu28ouep;;0;298;297;otree_etf_cda;Results;2022-03-02 23:59:10.807952+00:00;1;;;8;2;;{'A': 2, 'B': 4, 'C': 3, 'D': 0};{'A': 2, 'B': 4, 'C': 3, 'D': 0};86;86;746;1;2022-03-03 00:11:32.066209+00:00;Z;3;mqshq7o7;;;;;0
3;zl6gs3a2;;0;298;297;otree_etf_cda;Results;2022-03-02 23:59:43.373891+00:00;1;;;110;3;;{'A': 2, 'B': 1, 'C': 0, 'D': 0};{'A': 2, 'B': 1, 'C': 0, 'D': 0};385;335;505;1;2022-03-03 00:11:32.066209+00:00;Z;3;mqshq7o7;;;;;0
4;5fmgcamz;;0;298;297;otree_etf_cda;Results;2022-03-02 23:59:34.012030+00:00;1;;;322;4;;{'A': 1, 'B': 1, 'C': 2, 'D': 0};{'A': 1, 'B': 1, 'C': 1, 'D': 0};334;334;514;1;2022-03-03 00:11:32.066209+00:00;Z;3;mqshq7o7;;;;;0
5;viezv15q;;0;298;297;otree_etf_cda;Results;2022-03-02 23:59:49.458048+00:00;1;;;150;5;;{'A': 5, 'B': 0, 'C': 1, 'D': 0};{'A': 5, 'B': 0, 'C': 1, 'D': 0};141;141;621;1;2022-03-03 00:11:32.066209+00:00;Z;3;mqshq7o7;;;;;0
6;tsn2t9qy;;0;298;297;otree_etf_cda;Results;2022-03-03 00:00:07.757149+00:00;1;;;229;6;;{'A': 0, 'B': 2, 'C': 4, 'D': 1};{'A': 0, 'B': 2, 'C': 4, 'D': 1};60;60;690;1;2022-03-03 00:11:32.066209+00:00;Z;3;mqshq7o7;;;;;0
7;njqxp4n8;;0;298;297;otree_etf_cda;Results;2022-03-03 00:00:06.347067+00:00;1;;;351;7;;{'A': 2, 'B': 0, 'C': 1, 'D': 1};{'A': 2, 'B': 0, 'C': 0, 'D': 1};163;163;583;1;2022-03-03 00:11:32.066209+00:00;Z;3;mqshq7o7;;;;;0
8;tita9miw;;0;298;297;otree_etf_cda;Results;2022-03-03 00:00:10.551561+00:00;1;;;302;8;;{'A': 2, 'B': 4, 'C': 4, 'D': 0};{'A': 2, 'B': 4, 'C': 4, 'D': 0};12;12;762;1;2022-03-03 00:11:32.066209+00:00;Z;3;mqshq7o7;;;;;0
9;o0xj0kd9;;0;298;297;otree_etf_cda;Results;2022-03-03 00:00:11.603922+00:00;1;;;179;9;;{'A': 0, 'B': 3, 'C': 1, 'D': 1};{'A': 0, 'B': 2, 'C': 0, 'D': 0};64;64;514;1;2022-03-03 00:11:32.066209+00:00;Z;3;mqshq7o7;;;;;0
10;vbfahm5c;;0;298;297;otree_etf_cda;Results;2022-03-03 00:00:24.990476+00:00;1;;;236;10;;{'A': 0, 'B': 0, 'C': 1, 'D': 0};{'A': 0, 'B': 0, 'C': 1, 'D': 0};586;586;466;1;2022-03-03 00:11:32.066209+00:00;Z;3;mqshq7o7;;;;;0
11;e9xpgl96;;0;298;297;otree_etf_cda;Results;2022-03-03 00:01:29.128978+00:00;1;;;232;11;;{'A': 1, 'B': 1, 'C': 0, 'D': 0};{'A': 1, 'B': 0, 'C': 0, 'D': 0};419;220;419;1;2022-03-03 00:11:32.066209+00:00;Z;3;mqshq7o7;;;;;0
