participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;hd4dj563;;0;298;297;otree_etf_cda;Results;2022-02-11 23:33:04.690178+00:00;1;;;510;1;;{'A': 2, 'B': 2, 'C': 1, 'D': 0};{'A': 2, 'B': 2, 'C': 1, 'D': 0};225;85;255;1;2022-02-11 23:34:46.621620+00:00;Y;1;eoe0bvhu;;;;;0
2;w9u1sqye;;0;298;297;otree_etf_cda;Results;2022-02-11 23:33:22.129804+00:00;1;;;579;2;;{'A': 1, 'B': 2, 'C': 2, 'D': 0};{'A': 1, 'B': 2, 'C': 1, 'D': 0};290;250;200;1;2022-02-11 23:34:46.621620+00:00;Y;1;eoe0bvhu;;;;;0
3;sm9nn6f5;;0;298;297;otree_etf_cda;Results;2022-02-11 23:33:35.229673+00:00;1;;;582;3;;{'A': 2, 'B': 0, 'C': 1, 'D': 0};{'A': 2, 'B': 0, 'C': 0, 'D': 0};310;260;340;1;2022-02-11 23:34:46.621620+00:00;Y;1;eoe0bvhu;;;;;0
4;hdsocruk;;0;298;297;otree_etf_cda;Results;2022-02-11 23:33:46.503582+00:00;1;;;724;4;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 3, 'C': 3, 'D': 0};213;175;123;1;2022-02-11 23:34:46.621620+00:00;Y;1;eoe0bvhu;;;;;0
5;1t3jsfz7;;0;298;297;otree_etf_cda;Results;2022-02-11 23:33:34.489147+00:00;1;;;362;5;;{'A': 2, 'B': 1, 'C': 2, 'D': 1};{'A': 2, 'B': 1, 'C': 2, 'D': 1};47;11;197;1;2022-02-11 23:34:46.621620+00:00;Y;1;eoe0bvhu;;;;;0
6;iwrbb1no;;0;298;297;otree_etf_cda;Results;2022-02-11 23:33:45.748131+00:00;1;;;690;6;;{'A': 3, 'B': 3, 'C': 3, 'D': 0};{'A': 3, 'B': 3, 'C': 3, 'D': 0};97;97;247;1;2022-02-11 23:34:46.621620+00:00;Y;1;eoe0bvhu;;;;;0
7;vlzhiskj;;0;298;297;otree_etf_cda;Results;2022-02-11 23:33:54.243041+00:00;1;;;598;7;;{'A': 3, 'B': 2, 'C': 1, 'D': 0};{'A': 3, 'B': 2, 'C': 1, 'D': 0};160;90;310;1;2022-02-11 23:34:46.621620+00:00;Y;1;eoe0bvhu;;;;;0
8;h3cjqqqu;;0;298;297;otree_etf_cda;Results;2022-02-11 23:34:02.301883+00:00;1;;;663;8;;{'A': 0, 'B': 3, 'C': 3, 'D': 0};{'A': 0, 'B': 3, 'C': 3, 'D': 0};268;57;58;1;2022-02-11 23:34:46.621620+00:00;Y;1;eoe0bvhu;;;;;0
9;e3smi6r7;;0;298;297;otree_etf_cda;Results;2022-02-11 23:34:11.244252+00:00;1;;;542;9;;{'A': 3, 'B': 0, 'C': 0, 'D': 0};{'A': 3, 'B': 0, 'C': 0, 'D': 0};330;330;480;1;2022-02-11 23:34:46.621620+00:00;Y;1;eoe0bvhu;;;;;0
10;ninev1bk;;0;298;297;otree_etf_cda;Results;2022-02-11 23:34:24.978633+00:00;1;;;750;10;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 3, 'C': 3, 'D': 0};210;149;120;1;2022-02-11 23:34:46.621620+00:00;Y;1;eoe0bvhu;;;;;0
